Date,filingDate,Name,totalRevenue,costofGoodsAndServicesSold,researchAndDevelopment,totalEquity,totalAssets,totalLiabilities,inventory,commonStockSharesOutstanding,GDP,Interest,Inflation,SP,Cons_Sent,Fin_Stress,Cash_On_Hand,Unemployment_Rate,Recession_probability,Corporate_Profits,initialPrice,finalPrice,delta,class,Liab/Rev,Asset/share
9/30/2018,11/2/2018,TSLA,6824000000,-5313000000,351000000,5854000000,29263000000,23409000000,3314000000,171578000,20687.278,1.18087408,2.471481667,2849.6,98.1,-0.6204,134561,3.8,0.11,2274.868,23.09399986,22.76000023,-0.333999634,0,3.430392732,170.5521687
12/31/2018,2/19/2019,TSLA,7226000000,25289000,356000000,6313000000,29740000000,23427000000,3113000000,172603000,20819.269,1.28791727,2.452050667,2698.93,98.1,-0.1487,139445,3.8,0.23,2295.174,20.37599945,19.41533279,-0.960666656,0,3.242042624,172.3029148
3/31/2019,4/29/2019,TSLA,4541000000,80843000,340000000,6038000000,28913000000,22875000000,3837000000,173682000,21013.085,0.87527495,2.387288333,2721,94.5,-0.3621,123508,3.9,0.73,2254.933,16.09799957,15.600667,-0.497332573,0,5.037436688,166.4709066
6/30/2019,7/29/2019,TSLA,6350000000,34829000,324000000,7151000000,31873000000,24722000000,3382000000,179118000,21272.448,0.46067806,2.408969333,2882.33,98.5,-0.513,126995,3.6,0.47,2311.3,15.71800041,16.10733223,0.389331818,1,3.893228346,177.9441486
9/30/2019,10/29/2019,TSLA,6303000000,51328000,334000000,7482000000,32795000000,25313000000,3581000000,180000000,21531.839,0.36520973,2.565620333,2957.85,93.8,-0.2285,120227,3.6,0.35,2269.075,21.08133316,20.99466705,-0.086666107,0,4.016024116,182.1944444
12/31/2019,2/13/2020,TSLA,7384000000,26000000,345000000,8110000000,34309000000,26199000000,3552000000,181000000,21706.532,0.43873377,2.749306333,3082.76,97.2,-0.1624,155655,3.6,0.71,2383.929,53.59999847,57.2266655,3.626667023,1,3.548076923,189.5524862
3/31/2020,4/30/2020,TSLA,5985000000,45000000,324000000,10732000000,37250000000,26518000000,4494000000,185000000,21538.032,0.23108155,2.752460667,3055.87,96.6,0.9415,170156,3.8,33.45,2202.657,52.12533188,50.74599838,-1.379333496,0,4.430743525,201.3513514
6/30/2020,7/28/2020,TSLA,6036000000,43000000,279000000,11381000000,38135000000,26754000000,4018000000,186000000,19636.731,-0.09771677,2.122902,2931.69,74.1,1.0473,239587,13,33.35,2078.07,98.43267059,99.16600037,0.733329773,1,4.432405567,205.0268817
9/30/2020,10/26/2020,TSLA,8771000000,41000000,366000000,17548000000,45691000000,28143000000,4218000000,948000000,21362.428,-0.36527181,2.238408667,3319.83,75.7,-0.0865,221081,8.8,0.02,2702.715,140.093338,135.3399963,-4.753341675,0,3.208642116,48.19725738
12/31/2020,2/8/2021,TSLA,10744000000,149000000,522000000,23730000000,52148000000,28418000000,4101000000,960000000,21704.706,-0.24600518,1.785781667,3554.5,79.8,-0.1765,245243,6.8,0.21,2615.907,287.8066711,268.2733459,-19.5333252,0,2.645011169,54.32083333
3/31/2021,4/28/2021,TSLA,10389000000,75000000,666000000,24465000000,52972000000,28507000000,4132000000,963000000,22313.85,-0.15111138,1.583668333,3865.71,80.2,-0.5785,261600,6.2,0,2937.989,231.4666595,236.4799957,5.013336182,1,2.743959958,55.00726895
6/30/2021,7/27/2021,TSLA,11958000000,36000000,576000000,26250000000,55146000000,28896000000,4733000000,984000000,23046.934,0.04977656,2.491358,4183.63,85.6,-0.9187,268350,5.9,0.15,3209.367,214.9266663,225.7833405,10.85667419,1,2.416457602,56.04268293
9/30/2021,10/25/2021,TSLA,13757000000,35000000,611000000,28494000000,57834000000,29340000000,5199000000,1004000000,23550.42,-0.14023619,2.432303667,4421.67,74.8,-0.7987,270392,5.1,0.18,3214.189,341.6199951,345.9533386,4.333343506,1,2.132732427,57.60358566
12/31/2021,2/7/2022,TSLA,17719000000,149000000,740000000,31583000000,62131000000,30548000000,5757000000,1033000000,24349.121,0.1145294,3.244694,4602.11,69.9,-0.6983,260115,4.2,0.11,3190.746,302.4466553,310.6666565,8.220001221,1,1.724025058,60.14617619
3/31/2022,4/25/2022,TSLA,18756000000,197000000,865000000,35406000000,66038000000,30632000000,6691000000,1036000000,24740.48,0.36939264,4.284717333,4463.86,63.1,-0.4063,255821,3.8,0.13,3328.491,332.6733398,293.8366699,-38.83666992,0,1.633184048,63.74324324
6/30/2022,7/25/2022,TSLA,16934000000,82000000,667000000,37658000000,68513000000,30855000000,8108000000,1041000000,25248.476,1.05946385,5.043240667,4105.67,57.9,-0.1295,199421,3.6,0.19,3521.785,268.4333191,274.8200073,6.386688232,1,1.822073934,65.81460134
9/30/2022,10/24/2022,TSLA,21454000000,97000000,733000000,41124000000,74426000000,33302000000,10327000000,3158000000,25723.941,1.04068297,6.003276333,3980.35,56.1,-0.2758,191141,3.6,0.07,3347.843,211.25,224.6399994,13.38999939,1,1.552251328,23.56744775
12/31/2022,1/31/2023,TSLA,24318000000,143000000,810000000,45898000000,82338000000,36440000000,12839000000,3164000000,26137.992,1.76805674,6.484403333,3851.97,58.8,-0.1566,188009,3.6,0.88,3185.64,173.2200012,188.2700043,15.05000305,1,1.498478493,26.02338812
3/31/2019,4/25/2019,META,15077000000,2816000000,2860000000,86039000000,1.09E+11,22961000000,,2856000000,21013.085,0.87527495,2.387288333,2721,94.5,-0.3621,123508,3.9,0.73,2254.933,193.2599945,194.7799988,1.520004272,1,1.522915699,38.16526611
6/30/2019,7/25/2019,META,16883000000,3307000000,3315000000,88756000000,1.17E+11,28244000000,,2855000000,21272.448,0.46067806,2.408969333,2882.33,98.5,-0.513,126995,3.6,0.47,2311.3,200.7100067,195.9400024,-4.770004272,0,1.672925428,40.98073555
9/30/2019,10/31/2019,META,17648000000,3155000000,3548000000,93581000000,1.24E+11,30419000000,,2854000000,21531.839,0.36520973,2.565620333,2957.85,93.8,-0.2285,120227,3.6,0.35,2269.075,191.6499939,194.7200012,3.070007324,1,1.723651405,43.44779257
12/31/2019,1/30/2020,META,20966000000,3491000000,3878000000,1.00678E+11,1.33E+11,32322000000,,2851000000,21706.532,0.43873377,2.749306333,3082.76,97.2,-0.1624,155655,3.6,0.71,2383.929,209.5299988,204.1900024,-5.339996338,0,1.541638844,46.65029814
3/31/2020,4/30/2020,META,17734000000,3459000000,4015000000,1.04933E+11,1.38E+11,33067000000,,2851000000,21538.032,0.23108155,2.752460667,3055.87,96.6,0.9415,170156,3.8,33.45,2202.657,204.7100067,205.2599945,0.549987793,1,1.864610353,48.40406875
6/30/2020,7/31/2020,META,18683000000,3829000000,4462000000,1.10756E+11,1.40E+11,29244000000,,2850000000,19636.731,-0.09771677,2.122902,2931.69,74.1,1.0473,239587,13,33.35,2078.07,253.6699982,251.9600067,-1.709991455,0,1.565273243,49.12280702
9/30/2020,10/30/2020,META,21466000000,4194000000,4763000000,1.17294E+11,1.46E+11,28706000000,,2850000000,21362.428,-0.36527181,2.238408667,3319.83,75.7,-0.0865,221081,8.8,0.02,2702.715,263.1099854,261.3599854,-1.75,0,1.337277555,51.22807018
12/31/2020,1/28/2021,META,27940000000,5210000000,5207000000,1.27974E+11,1.59E+11,31026000000,,2854000000,21704.706,-0.24600518,1.785781667,3554.5,79.8,-0.1765,245243,6.8,0.21,2615.907,265,262.0100098,-2.989990234,0,1.110450966,55.71128241
3/31/2021,4/29/2021,META,26167000000,5131000000,5197000000,1.34134E+11,1.64E+11,29866000000,,2847000000,22313.85,-0.15111138,1.583668333,3865.71,80.2,-0.5785,261600,6.2,0,2937.989,329.5100098,322.5799866,-6.930023193,0,1.141361257,57.60449596
6/30/2021,7/29/2021,META,29073000000,5399000000,6096000000,1.38618E+11,1.71E+11,32382000000,,2834000000,23046.934,0.04977656,2.491358,4183.63,85.6,-0.9187,268350,5.9,0.15,3209.367,358.3200073,351.9500122,-6.369995117,0,1.113816944,60.33874382
9/30/2021,10/26/2021,META,29006000000,5771000000,6316000000,1.33775E+11,1.70E+11,36225000000,,2814000000,23550.42,-0.14023619,2.432303667,4421.67,74.8,-0.7987,270392,5.1,0.18,3214.189,315.8099976,316.9200134,1.110015869,1,1.248879542,60.41222459
12/31/2021,2/3/2022,META,33527000000,6348000000,7046000000,1.24892E+11,1.66E+11,41108000000,,2764000000,24349.121,0.1145294,3.244694,4602.11,69.9,-0.6983,260115,4.2,0.11,3190.746,237.7599945,224.9100037,-12.84999084,0,1.226116265,60.05788712
3/31/2022,4/28/2022,META,27904000000,6005000000,7707000000,1.2301E+11,1.64E+11,40990000000,,2725000000,24740.48,0.36939264,4.284717333,4463.86,63.1,-0.4063,255821,3.8,0.13,3328.491,205.7299957,211.1300049,5.400009155,1,1.468965023,60.18348624
6/30/2022,7/28/2022,META,28818000000,5192000000,8690000000,1.25988E+11,1.70E+11,44012000000,,2704000000,25248.476,1.05946385,5.043240667,4105.67,57.9,-0.1295,199421,3.6,0.19,3521.785,160.7200012,159.9299927,-0.790008545,0,1.527239919,62.86982249
9/30/2022,10/27/2022,META,27710000000,5716000000,9170000000,1.242E+11,1.79E+11,54800000000,,2682000000,25723.941,1.04068297,6.003276333,3980.35,56.1,-0.2758,191141,3.6,0.07,3347.843,97.94000244,93.16000366,-4.779998779,0,1.977625406,66.74123788
12/31/2022,2/2/2023,META,31920000000,8336000000,9771000000,1.25986E+11,1.86E+11,60014000000,,2639000000,26137.992,1.76805674,6.484403333,3851.97,58.8,-0.1566,188009,3.6,0.88,3185.64,188.7700043,186.0599976,-2.710006714,0,1.880137845,70.4812429
6/30/2019,7/19/2019,NFLX,4923000000,3006000000,383233000,6105000000,30171000000,24066000000,,437835000,21272.448,0.46067806,2.408969333,2882.33,98.5,-0.513,126995,3.6,0.47,2311.3,315.1000061,310.6199951,-4.480010986,0,4.888482633,68.90952071
9/30/2019,10/18/2019,NFLX,5245000000,3098000000,379776000,6862000000,30942000000,24080000000,,438251000,21531.839,0.36520973,2.565620333,2957.85,93.8,-0.2285,120227,3.6,0.35,2269.075,275.2999878,278.0499878,2.75,1,4.591039085,70.60337569
12/31/2019,1/29/2020,NFLX,5467000000,3466000000,537227000,7582000000,33976000000,26394000000,,438807000,21706.532,0.43873377,2.749306333,3082.76,97.2,-0.1624,155655,3.6,0.71,2383.929,343.1600037,345.0899963,1.929992676,1,4.827876349,77.4281176
3/31/2020,4/21/2020,NFLX,5768000000,3600000000,453817000,8409000000,35060000000,26651000000,,439781000,21538.032,0.23108155,2.752460667,3055.87,96.6,0.9415,170156,3.8,33.45,2202.657,433.8299866,426.7000122,-7.129974365,0,4.620492372,79.72149775
6/30/2020,7/20/2020,NFLX,6148000000,3644000000,435045000,9334000000,37175000000,27841000000,,441015000,19636.731,-0.09771677,2.122902,2931.69,74.1,1.0473,239587,13,33.35,2078.07,502.4100037,489.8200073,-12.58999634,0,4.528464541,84.29418501
9/30/2020,10/22/2020,NFLX,6436000000,3868000000,453802000,10334000000,38623000000,28289000000,,441795000,21362.428,-0.36527181,2.238408667,3319.83,75.7,-0.0865,221081,8.8,0.02,2702.715,485.230011,488.2399902,3.009979248,1,4.395431945,87.42289976
12/31/2020,1/28/2021,NFLX,6644000000,4165000000,486936000,11065000000,39280000000,28215000000,,442895000,21704.706,-0.24600518,1.785781667,3554.5,79.8,-0.1765,245243,6.8,0.21,2615.907,538.5999756,539.039978,0.440002441,1,4.246688742,88.6891927
3/31/2021,4/22/2021,NFLX,7163000000,3869000000,525207000,12884000000,40123000000,27239000000,,443384000,22313.85,-0.15111138,1.583668333,3865.71,80.2,-0.5785,261600,6.2,0,2937.989,508.7799988,510.2999878,1.519989014,1,3.802736284,90.4926655
6/30/2021,7/22/2021,NFLX,7342000000,4018000000,537321000,13864000000,40971000000,27107000000,,442596000,23046.934,0.04977656,2.491358,4183.63,85.6,-0.9187,268350,5.9,0.15,3209.367,511.769989,516.4899902,4.720001221,1,3.692045764,92.56974758
9/30/2021,10/21/2021,NFLX,7483000000,4207000000,563887000,15315000000,42740000000,27425000000,,442952000,23550.42,-0.14023619,2.432303667,4421.67,74.8,-0.7987,270392,5.1,0.18,3214.189,653.1599731,671.6599731,18.5,1,3.664973941,96.4890101
12/31/2021,1/27/2022,NFLX,7709000000,5240000000,647470000,15850000000,44585000000,28735000000,,443963000,24349.121,0.1145294,3.244694,4602.11,69.9,-0.6983,260115,4.2,0.11,3190.746,386.7000122,427.1400146,40.44000244,1,3.727461409,100.4250354
3/31/2022,4/21/2022,NFLX,7868000000,4285000000,657530000,17544000000,45331000000,27787000000,,444274000,24740.48,0.36939264,4.284717333,4463.86,63.1,-0.4063,255821,3.8,0.13,3328.491,218.2200012,209.9100037,-8.309997559,0,3.531647178,102.03388
6/30/2022,7/21/2022,NFLX,7970000000,4691000000,716846000,19076000000,46351000000,27275000000,,444706000,25248.476,1.05946385,5.043240667,4105.67,57.9,-0.1295,199421,3.6,0.19,3521.785,223.8800049,218.5099945,-5.370010376,0,3.422208281,104.2284116
9/30/2022,10/20/2022,NFLX,7926000000,4789000000,662739000,20528000000,47562000000,27034000000,,445020000,25723.941,1.04068297,6.003276333,3980.35,56.1,-0.2758,191141,3.6,0.07,3347.843,268.1600037,282.4500122,14.29000854,1,3.410799899,106.8760955
12/31/2022,1/26/2023,NFLX,7852000000,5404000000,673926000,20778000000,48595000000,27817000000,,445347000,26137.992,1.76805674,6.484403333,3851.97,58.8,-0.1566,188009,3.6,0.88,3185.64,364.8699951,353.1099854,-11.76000977,0,3.542664289,109.1171603
3/31/2023,4/21/2023,NFLX,8162000000,4804000000,687275000,21828000000,49490000000,27662000000,,444537000,26629.7225,1.7543125,6.53331693,3610.215,55.3,-0.09135,155669,3.5,0.85,3358.188149,327.980011,327.980011,0,1,3.389120314,111.3293157
10/31/2020,12/4/2020,CRM,5412000000,1394000000,902000000,40310000000,59136000000,18826000000,,911000000,21704.706,-0.24600518,1.785781667,3554.5,79.8,-0.1765,245243,6.8,0.21,2615.907,225.8600006,227.6999969,1.839996338,1,3.478566149,64.91328211
1/31/2021,3/17/2021,CRM,6122000000,1479000000,939000000,41493000000,66301000000,24808000000,,919000000,22313.85,-0.15111138,1.583668333,3865.71,80.2,-0.5785,261600,6.2,0,2937.989,213.1199951,212.1999969,-0.919998169,0,4.0522705,72.14472252
4/30/2021,6/2/2021,CRM,6369000000,1555000000,951000000,42567000000,64885000000,22318000000,,921000000,23046.934,0.04977656,2.491358,4183.63,85.6,-0.9187,268350,5.9,0.15,3209.367,234.6199951,237.4799957,2.86000061,1,3.504160779,70.45059718
7/31/2021,8/27/2021,CRM,7085000000,1613000000,1020000000,55520000000,88658000000,33138000000,,933000000,23550.42,-0.14023619,2.432303667,4421.67,74.8,-0.7987,270392,5.1,0.18,3214.189,266.5299988,264.9700012,-1.559997559,0,4.677205363,95.02465166
10/31/2021,12/2/2021,CRM,7403000000,1844000000,1203000000,57054000000,87436000000,30382000000,,980000000,24349.121,0.1145294,3.244694,4602.11,69.9,-0.6983,260115,4.2,0.11,3190.746,261.2000122,258.75,-2.450012207,0,4.104011887,89.22040816
1/31/2022,3/11/2022,CRM,7272000000,2014000000,1291000000,58131000000,95209000000,37078000000,,989000000,24740.48,0.36939264,4.284717333,4463.86,63.1,-0.4063,255821,3.8,0.13,3328.491,197.8999939,193.1199951,-4.779998779,0,5.098734873,96.26794742
4/30/2022,6/1/2022,CRM,7492000000,2045000000,1318000000,58876000000,93022000000,34146000000,,991000000,25248.476,1.05946385,5.043240667,4105.67,57.9,-0.1295,199421,3.6,0.19,3521.785,176.0700073,184.9100037,8.839996338,1,4.557661506,93.86680121
7/31/2022,8/25/2022,CRM,7839000000,2127000000,1329000000,60098000000,94148000000,34050000000,,997000000,25723.941,1.04068297,6.003276333,3980.35,56.1,-0.2758,191141,3.6,0.07,3347.843,173.9100037,160.2100067,-13.69999695,0,4.343666284,94.43129388
10/31/2022,12/1/2022,CRM,7786000000,2088000000,1280000000,59351000000,91884000000,32533000000,,997000000,26137.992,1.76805674,6.484403333,3851.97,58.8,-0.1566,188009,3.6,0.88,3185.64,147,133.9299927,-13.07000732,0,4.178397123,92.16048144
1/31/2023,3/8/2023,CRM,8096000000,2100000000,1128000000,58359000000,98849000000,40490000000,,1009000000,26629.7225,1.7543125,6.53331693,3610.215,55.3,-0.09135,155669,3.5,0.85,3358.188149,182.9499969,173.1799927,-9.770004272,0,5.001235178,97.96729435
3/31/2018,5/3/2018,AMD,1615000000,1050000000,343000000,715000000,3763000000,3048000000,715000000,969000000,20155.486,0.99726438,2.222466,2733.48,98.9,-0.3239,156478,4,0.13,2202.037,10.93000031,11.59000015,0.659999847,1,1.887306502,3.883384933
6/30/2018,8/2/2018,AMD,1725000000,1104000000,357000000,879000000,4103000000,3224000000,750000000,975000000,20470.197,1.15872476,2.530544333,2703.13,98.3,-0.1825,136813,3.9,0.1,2258.834,18.79000092,19.43000031,0.63999939,1,1.868985507,4.208205128
12/31/2022,2/27/2023,AMD,5732000000,3196000000,1366000000,54750000000,67580000000,12830000000,3771000000,1612000000,26137.992,1.76805674,6.484403333,3851.97,58.8,-0.1566,188009,3.6,0.88,3185.64,78.76999664,78.29000092,-0.479995728,0,2.238311235,41.92307692
3/31/2018,4/27/2018,INTC,16678000000,6335000000,3311000000,70569000000,1.29E+11,58431000000,7146000000,4660000000,20155.486,0.99726438,2.222466,2733.48,98.9,-0.3239,156478,4,0.13,2202.037,45.66156006,44.70035553,-0.961204529,0,3.503477635,27.68240343
6/30/2018,7/27/2018,INTC,16713000000,6543000000,3371000000,70075000000,1.26E+11,55925000000,7344000000,4611000000,20470.197,1.15872476,2.530544333,2703.13,98.3,-0.1825,136813,3.9,0.1,2258.834,41.52680588,41.53551865,0.008712769,1,3.346197571,27.32595966
12/31/2022,1/27/2023,INTC,14042000000,8542000000,4464000000,1.0132E+11,1.82E+11,80680000000,13224000000,4137000000,26137.992,1.76805674,6.484403333,3851.97,58.8,-0.1566,188009,3.6,0.88,3185.64,27.82100296,27.61353302,-0.20746994,0,5.745620282,43.99323181
3/31/2018,4/26/2018,PYPL,7375000000,1580000000,258000000,14641000000,42322000000,27681000000,6537000000,1183000000,20155.486,0.99726438,2.222466,2733.48,98.9,-0.3239,156478,4,0.13,2202.037,76.02999878,74.61000061,-1.419998169,0,3.753355932,35.77514793
6/30/2018,7/26/2018,PYPL,3857000000,1696000000,255000000,15019000000,41677000000,26658000000,6870000000,1184000000,20470.197,1.15872476,2.530544333,2703.13,98.3,-0.1825,136813,3.9,0.1,2258.834,89.13999939,82.38999939,-6.75,0,6.911589318,35.20016892
9/30/2018,10/23/2018,PYPL,3661000000,1661000000,269000000,15115000000,43724000000,28609000000,,1178000000,20687.278,1.18087408,2.471481667,2849.6,98.1,-0.6204,134561,3.8,0.11,2274.868,87.56999969,85.95999908,-1.61000061,0,7.814531549,37.11714771
12/31/2018,2/7/2019,PYPL,4283000000,3400000000,289000000,15386000000,43332000000,27946000000,,1174000000,20819.269,1.28791727,2.452050667,2698.93,98.1,-0.1487,139445,3.8,0.23,2295.174,90.84999847,92.69000244,1.840003967,1,6.524865748,36.90971039
3/31/2019,4/25/2019,PYPL,4128000000,2278000000,511000000,15157000000,46280000000,31123000000,,1172000000,21013.085,0.87527495,2.387288333,2721,94.5,-0.3621,123508,3.9,0.73,2254.933,110.2200012,112.4400024,2.220001221,1,7.539486434,39.48805461
6/30/2019,7/25/2019,PYPL,4305000000,2344000000,483000000,16139000000,48391000000,32252000000,,1177000000,21272.448,0.46067806,2.408969333,2882.33,98.5,-0.513,126995,3.6,0.47,2311.3,115.1200027,111.4499969,-3.670005798,0,7.491753775,41.11384877
9/30/2019,10/24/2019,PYPL,4378000000,2431000000,533000000,16483000000,50223000000,33740000000,,1174000000,21531.839,0.36520973,2.565620333,2957.85,93.8,-0.2285,120227,3.6,0.35,2269.075,104.9100037,106.5999985,1.689994812,1,7.706715395,42.77938671
12/31/2019,2/6/2020,PYPL,4961000000,2732000000,558000000,16929000000,51333000000,34404000000,,1173000000,21706.532,0.43873377,2.749306333,3082.76,97.2,-0.1624,155655,3.6,0.71,2383.929,119.8899994,120.0599976,0.169998169,1,6.934892159,43.76214834
3/31/2020,5/7/2020,PYPL,4618000000,2729000000,605000000,16011000000,54266000000,38255000000,,1173000000,21538.032,0.23108155,2.752460667,3055.87,96.6,0.9415,170156,3.8,33.45,2202.657,146.2899933,143.9600067,-2.329986572,0,8.283889129,46.2625746
6/30/2020,7/30/2020,PYPL,5261000000,2283000000,631000000,17684000000,63166000000,45482000000,,1173000000,19636.731,-0.09771677,2.122902,2931.69,74.1,1.0473,239587,13,33.35,2078.07,192.5099945,197.0700073,4.560012817,1,8.645124501,53.84995737
9/30/2020,11/3/2020,PYPL,5459000000,2366000000,674000000,18527000000,65582000000,47055000000,,1172000000,21362.428,-0.36527181,2.238408667,3319.83,75.7,-0.0865,221081,8.8,0.02,2702.715,179.8099976,204.5599976,24.75,1,8.61971057,55.95733788
12/31/2020,2/5/2021,PYPL,6116000000,2696000000,732000000,20063000000,70379000000,50316000000,,1172000000,21704.706,-0.24600518,1.785781667,3554.5,79.8,-0.1765,245243,6.8,0.21,2615.907,269.4400024,282.1700134,12.73001099,1,8.226945716,60.0503413
