End,Name,totalRevenue,totalAssets,totalLiabilities,commonStockSharesOutstanding,GDP,Interest,Inflation,SP,Cons_Sent,Fin_Stress,Cash_On_Hand,Unemployment_Rate,Recession_probability,Corporate_Profits
3/31/2021,TSLA,-0.033041698,0.015801181,0.003131818,0.003125,0.028065066,-0.385739032,-0.113179196,0.087553805,0.005012531,2.10424503,0.066697113,-0.088235294,-1,0.123124408
6/30/2021,TSLA,0.151025123,0.04104055,0.013645771,0.021806854,0.032853318,-1.32940312,0.573156417,0.082241037,0.067331671,0.567768738,0.025802752,-0.048387097,inf,0.092368624
9/30/2021,TSLA,0.150443218,0.048743336,0.015365449,0.020325203,0.021846116,-3.817313812,-0.023703672,0.056897957,-0.126168224,-0.124654963,0.007609465,-0.13559322,0.105263158,0.001502477
12/31/2021,TSLA,0.287998837,0.074298855,0.041172461,0.028884462,0.033914512,-1.81668933,0.334000373,0.040808111,-0.065508021,-0.119828456,-0.038007781,-0.176470588,-0.571428571,-0.007293597
3/31/2022,TSLA,0.058524747,0.062883263,0.002749771,0.002904163,0.016072818,2.225308436,0.320530482,-0.030040568,-0.097281831,-0.419891086,-0.016508083,-0.095238095,0,0.043170155
6/30/2022,TSLA,-0.097142248,0.037478422,0.007279969,0.004826255,0.020532989,1.868123875,0.177029959,-0.080242212,-0.082408875,-0.689970356,-0.220466654,-0.052631579,2,0.058072562
9/30/2022,TSLA,0.266918625,0.086304789,0.079306433,2.033621518,0.018831434,-0.017726778,0.190360867,-0.030523642,-0.031088083,1.084462151,-0.041520201,0,-0.592592593,-0.049390295
12/31/2022,TSLA,0.133494919,0.106306936,0.094228575,0.001899937,0.01609594,0.698938861,0.08014407,-0.032253445,0.048128342,-0.406345566,,0,9,-0.048450002
6/30/2018,META,0.105716196,0.015132947,-0.036732892,-0.003785272,0.015614161,0.161903286,0.138620043,-0.011103063,-0.006066734,-0.446735395,-0.125672619,-0.025,-0.222222222,0.025792936
9/30/2018,META,0.037487718,0.023933725,0.110092584,-0.003454231,0.010604734,0.019115256,-0.023339906,0.054185333,-0.002034588,2.483342744,-0.016460424,-0.025641026,0.142857143,0.007098353
12/31/2018,META,0.215997669,0.05280578,0.090586292,-0.003466205,0.006380298,0.090647421,-0.007862085,-0.052874088,0,-0.7646296,0.036295806,0,2.25,0.008926232
3/31/2019,META,-0.096752936,0.124755995,0.73854774,-0.006608696,0.009309453,-0.320395051,-0.026411499,0.008177315,-0.036697248,1.466942149,-0.114288788,0.026315789,1.884615385,-0.017532876
6/30/2019,META,0.119785103,0.068772436,0.230085798,-0.00035014,0.012342928,-0.473676175,0.009081852,0.059290702,0.042328042,0.425181463,0.028232989,-0.076923077,-0.493333333,0.024997195
9/30/2019,META,0.045311852,0.063347179,0.077007506,-0.000350263,0.012193754,-0.207234375,0.065028225,0.026201025,-0.047715736,-0.558080313,-0.053293437,0,0.210526316,-0.01826894
12/31/2019,META,0.188009973,0.071999228,0.062559584,-0.001051156,0.008113241,0.201320047,0.071595161,0.042229998,0.036247335,-0.29787234,0.294675905,0,0.956521739,0.050617102
3/31/2020,META,-0.154154345,0.037450516,0.023049316,0,-0.00776264,-0.473298921,0.00114732,-0.008722703,-0.00617284,-6.964646465,0.093161158,0.055555556,36.16666667,-0.076039177
6/30/2020,META,0.053513026,0.009539571,-0.115613754,-0.000350754,-0.08827645,-1.422867035,-0.228725763,-0.040636545,-0.232919255,0.116215072,0.408043207,2.421052632,-0.002092676,-0.056562143
9/30/2020,META,0.148958947,0.048292302,-0.018396936,0,0.087881073,2.738066762,0.054409797,0.132394626,0.021592443,-1.080504457,-0.077241253,-0.323076923,-0.999400839,0.300589008
12/31/2020,META,0.301593217,0.087949084,0.080819341,0.001403509,0.01602243,-0.32651474,-0.202209278,0.070687354,0.054161162,1.191990577,0.10929026,-0.227272727,6,-0.032118814
3/31/2021,META,-0.063457409,0.026406638,-0.037387997,-0.002452698,0.028065066,-0.385739032,-0.113179196,0.087553805,0.005012531,2.10424503,0.066697113,-0.088235294,-1,0.123124408
6/30/2021,META,0.11105591,0.043333354,0.084242952,-0.00456621,0.032853318,-1.32940312,0.573156417,0.082241037,0.067331671,0.567768738,0.025802752,-0.048387097,inf,0.092368624
9/30/2021,META,-0.002304544,-0.006002028,0.118677043,-0.007057163,0.021846116,-3.817313812,-0.023703672,0.056897957,-0.126168224,-0.124654963,0.007609465,-0.13559322,0.105263158,0.001502477
12/31/2021,META,0.155864304,-0.021216499,0.134796411,-0.017768301,0.033914512,-1.81668933,0.334000373,0.040808111,-0.065508021,-0.119828456,-0.038007781,-0.176470588,-0.571428571,-0.007293597
3/31/2022,META,-0.167715573,-0.010657461,-0.002870487,-0.014109986,0.016072818,2.225308436,0.320530482,-0.030040568,-0.097281831,-0.419891086,-0.016508083,-0.095238095,0,0.043170155
6/30/2022,META,0.032755161,0.033863523,0.073725299,-0.007706422,0.020532989,1.868123875,0.177029959,-0.080242212,-0.082408875,-0.689970356,-0.220466654,-0.052631579,2,0.058072562
9/30/2022,META,-0.038448192,0.053687441,0.245114969,-0.008136095,0.018831434,-0.017726778,0.190360867,-0.030523642,-0.031088083,1.084462151,-0.041520201,0,-0.592592593,-0.049390295
12/31/2022,META,0.151930711,0.038195803,0.095145985,-0.016032811,0.01609594,0.698938861,0.08014407,-0.032253445,0.048128342,-0.406345566,,0,9,-0.048450002
9/30/2018,NFLX,0.023547479,0.030974232,0.010458524,0.001439863,0.010604734,0.019115256,-0.023339906,0.054185333,-0.002034588,2.483342744,-0.016460424,-0.025641026,0.142857143,0.007098353
12/31/2018,NFLX,0.047011753,0.111615167,0.129596339,0.001178669,0.006380298,0.090647421,-0.007862085,-0.052874088,0,-0.7646296,0.036295806,0,2.25,0.008926232
3/31/2019,NFLX,0.079770719,0.047932548,0.037615741,0.001358226,0.009309453,-0.320395051,-0.026411499,0.008177315,-0.036697248,1.466942149,-0.114288788,0.026315789,1.884615385,-0.017532876
6/30/2019,NFLX,0.088918381,0.108453654,0.118516453,0.00147075,0.012342928,-0.473676175,0.009081852,0.059290702,0.042328042,0.425181463,0.028232989,-0.076923077,-0.493333333,0.024997195
9/30/2019,NFLX,0.065407272,0.02555434,0.000581734,0.00095013,0.012193754,-0.207234375,0.065028225,0.026201025,-0.047715736,-0.558080313,-0.053293437,0,0.210526316,-0.01826894
12/31/2019,NFLX,0.042326025,0.098054424,0.096096346,0.001268679,0.008113241,0.201320047,0.071595161,0.042229998,0.036247335,-0.29787234,0.294675905,0,0.956521739,0.050617102
3/31/2020,NFLX,0.055057618,0.031904874,0.009737061,0.002219655,-0.00776264,-0.473298921,0.00114732,-0.008722703,-0.00617284,-6.964646465,0.093161158,0.055555556,36.16666667,-0.076039177
6/30/2020,NFLX,0.065880721,0.060325157,0.044651233,0.002805942,-0.08827645,-1.422867035,-0.228725763,-0.040636545,-0.232919255,0.116215072,0.408043207,2.421052632,-0.002092676,-0.056562143
9/30/2020,NFLX,0.046844502,0.038950908,0.016091376,0.001768647,0.087881073,2.738066762,0.054409797,0.132394626,0.021592443,-1.080504457,-0.077241253,-0.323076923,-0.999400839,0.300589008
12/31/2020,NFLX,0.03231821,0.01701059,-0.002615858,0.002489843,0.01602243,-0.32651474,-0.202209278,0.070687354,0.054161162,1.191990577,0.10929026,-0.227272727,6,-0.032118814
3/31/2021,NFLX,0.078115593,0.021461303,-0.034591529,0.001104099,0.028065066,-0.385739032,-0.113179196,0.087553805,0.005012531,2.10424503,0.066697113,-0.088235294,-1,0.123124408
6/30/2021,NFLX,0.02498953,0.02113501,-0.004845993,-0.00177724,0.032853318,-1.32940312,0.573156417,0.082241037,0.067331671,0.567768738,0.025802752,-0.048387097,inf,0.092368624
9/30/2021,NFLX,0.019204576,0.043176881,0.011731287,0.000804345,0.021846116,-3.817313812,-0.023703672,0.056897957,-0.126168224,-0.124654963,0.007609465,-0.13559322,0.105263158,0.001502477
12/31/2021,NFLX,0.030201791,0.043167993,0.047766636,0.002282414,0.033914512,-1.81668933,0.334000373,0.040808111,-0.065508021,-0.119828456,-0.038007781,-0.176470588,-0.571428571,-0.007293597
3/31/2022,NFLX,0.020625243,0.016732085,-0.032991126,0.000700509,0.016072818,2.225308436,0.320530482,-0.030040568,-0.097281831,-0.419891086,-0.016508083,-0.095238095,0,0.043170155
6/30/2022,NFLX,0.012963904,0.022501158,-0.018425883,0.000972373,0.020532989,1.868123875,0.177029959,-0.080242212,-0.082408875,-0.689970356,-0.220466654,-0.052631579,2,0.058072562
9/30/2022,NFLX,-0.005520703,0.026126729,-0.00883593,0.000706084,0.018831434,-0.017726778,0.190360867,-0.030523642,-0.031088083,1.084462151,-0.041520201,0,-0.592592593,-0.049390295
12/31/2022,NFLX,-0.009336361,0.021719019,0.028963527,0.000734798,0.01609594,0.698938861,0.08014407,-0.032253445,0.048128342,-0.406345566,,0,9,-0.048450002
3/31/2023,NFLX,0.039480387,0.018417533,-0.005572132,-0.001818806,,-0.007773642,0.007543269,0.038445263,0.098639456,0.224082421,,-0.027777778,,
7/31/2018,CRM,-0.452427184,0.124548186,0.032932874,0.024691358,0.010604734,0.019115256,-0.023339906,0.054185333,-0.002034588,2.483342744,-0.016460424,-0.025641026,0.142857143,0.007098353
10/31/2018,CRM,-0.008274232,0.029624753,-0.03253355,0.017402945,0.006380298,0.090647421,-0.007862085,-0.052874088,0,-0.7646296,0.036295806,0,2.25,0.008926232
1/31/2019,CRM,0.073599523,0.156047841,0.272131148,0.013157895,0.009309453,-0.320395051,-0.026411499,0.008177315,-0.036697248,1.466942149,-0.114288788,0.026315789,1.884615385,-0.017532876
4/30/2019,CRM,0.100194283,0.07863487,0.104150145,0.001298701,0.012342928,-0.473676175,0.009081852,0.059290702,0.042328042,0.425181463,0.028232989,-0.076923077,-0.493333333,0.024997195
7/31/2019,CRM,0.016397578,0.005489534,-0.032200144,0.006485084,0.012193754,-0.207234375,0.065028225,0.026201025,-0.047715736,-0.558080313,-0.053293437,0,0.210526316,-0.01826894
10/31/2019,CRM,0.147927525,0.498140149,0.030488559,0.132731959,0.008113241,0.201320047,0.071595161,0.042229998,0.036247335,-0.29787234,0.294675905,0,0.956521739,0.050617102
1/31/2020,CRM,0.048864865,0.103800408,0.274740443,0.01592719,-0.00776264,-0.473298921,0.00114732,-0.008722703,-0.00617284,-6.964646465,0.093161158,0.055555556,36.16666667,-0.076039177
4/30/2020,CRM,0.071737786,-0.027264812,-0.102772939,0.003359462,-0.08827645,-1.422867035,-0.228725763,-0.040636545,-0.232919255,0.116215072,0.408043207,2.421052632,-0.002092676,-0.056562143
7/31/2020,CRM,0.018272745,0.077522705,0.014796936,0.008928571,0.087881073,2.738066762,0.054409797,0.132394626,0.021592443,-1.080504457,-0.077241253,-0.323076923,-0.999400839,0.300589008
10/31/2020,CRM,0.022289384,0.023468328,-0.026577042,0.007743363,0.01602243,-0.32651474,-0.202209278,0.070687354,0.054161162,1.191990577,0.10929026,-0.227272727,6,-0.032118814
1/31/2021,CRM,0.131189948,0.121161391,0.317752045,0.008781559,0.028065066,-0.385739032,-0.113179196,0.087553805,0.005012531,2.10424503,0.066697113,-0.088235294,-1,0.123124408
4/30/2021,CRM,0.040346292,-0.021357144,-0.100370848,0.002176279,0.032853318,-1.32940312,0.573156417,0.082241037,0.067331671,0.567768738,0.025802752,-0.048387097,inf,0.092368624
7/31/2021,CRM,0.112419532,0.366386684,0.484810467,0.013029316,0.021846116,-3.817313812,-0.023703672,0.056897957,-0.126168224,-0.124654963,0.007609465,-0.13559322,0.105263158,0.001502477
10/31/2021,CRM,0.044883557,-0.013783302,-0.083167361,0.050375134,0.033914512,-1.81668933,0.334000373,0.040808111,-0.065508021,-0.119828456,-0.038007781,-0.176470588,-0.571428571,-0.007293597
1/31/2022,CRM,-0.017695529,0.088899309,0.220393654,0.009183673,0.016072818,2.225308436,0.320530482,-0.030040568,-0.097281831,-0.419891086,-0.016508083,-0.095238095,0,0.043170155
4/30/2022,CRM,0.030253025,-0.022970517,-0.079076541,0.002022245,0.020532989,1.868123875,0.177029959,-0.080242212,-0.082408875,-0.689970356,-0.220466654,-0.052631579,2,0.058072562
7/31/2022,CRM,0.04631607,0.012104663,-0.002811457,0.00605449,0.018831434,-0.017726778,0.190360867,-0.030523642,-0.031088083,1.084462151,-0.041520201,0,-0.592592593,-0.049390295
10/31/2022,CRM,-0.006761066,-0.024047245,-0.044552129,0,0.01609594,0.698938861,0.08014407,-0.032253445,0.048128342,-0.406345566,,0,9,-0.048450002
1/31/2023,CRM,0.039815053,0.075802098,0.244582424,0.012036108,,-0.007773642,0.007543269,0.038445263,0.098639456,0.224082421,,-0.027777778,,
6/30/2018,AMD,0.068111455,0.090353441,0.057742782,0.00619195,0.015614161,0.161903286,0.138620043,-0.011103063,-0.006066734,-0.446735395,-0.125672619,-0.025,-0.222222222,0.025792936
9/30/2018,AMD,-0.059130435,0.059468681,-0.000620347,0.024615385,0.010604734,0.019115256,-0.023339906,0.054185333,-0.002034588,2.483342744,-0.016460424,-0.025641026,0.142857143,0.007098353
12/31/2018,AMD,-0.143561306,0.048079135,0.021104904,0.006006006,0.006380298,0.090647421,-0.007862085,-0.052874088,0,-0.7646296,0.036295806,0,2.25,0.008926232
3/31/2019,AMD,-0.071223022,0.082309043,-0.044680851,0.076616915,0.009309453,-0.320395051,-0.026411499,0.008177315,-0.036697248,1.466942149,-0.114288788,0.026315789,1.884615385,-0.017532876
6/30/2019,AMD,0.166537568,0.034678564,0.018453707,0.003696858,0.012342928,-0.473676175,0.009081852,0.059290702,0.042328042,0.425181463,0.028232989,-0.076923077,-0.493333333,0.024997195
9/30/2019,AMD,0.153386454,0.029596237,-0.038737894,0.025782689,0.012193754,-0.207234375,0.065028225,0.026201025,-0.047715736,-0.558080313,-0.053293437,0,0.210526316,-0.01826894
12/31/2019,AMD,0.214162349,0.147534742,0.040298993,0.0502693,0.008113241,0.201320047,0.071595161,0.042229998,0.036247335,-0.29787234,0.294675905,0,0.956521739,0.050617102
3/31/2020,AMD,-0.167852063,-0.02720637,-0.116838488,0.000854701,-0.00776264,-0.473298921,0.00114732,-0.008722703,-0.00617284,-6.964646465,0.093161158,0.055555556,36.16666667,-0.076039177
6/30/2020,AMD,0.092877493,0.122612551,0.159533074,0.002561913,-0.08827645,-1.422867035,-0.228725763,-0.040636545,-0.232919255,0.116215072,0.408043207,2.421052632,-0.002092676,-0.056562143
9/30/2020,AMD,0.45464025,0.066838827,-0.037217816,0.023850085,0.087881073,2.738066762,0.054409797,0.132394626,0.021592443,-1.080504457,-0.077241253,-0.323076923,-0.999400839,0.300589008
12/31/2020,AMD,0.159498208,0.276092838,-0.00982256,0.007487521,0.01602243,-0.32651474,-0.202209278,0.070687354,0.054161162,1.191990577,0.10929026,-0.227272727,6,-0.032118814
3/31/2021,AMD,0.057805255,0.121066726,0.1424,0.003303055,0.028065066,-0.385739032,-0.113179196,0.087553805,0.005012531,2.10424503,0.066697113,-0.088235294,-1,0.123124408
6/30/2021,AMD,0.122150789,0.064098736,0.015686275,-0.001646091,0.032853318,-1.32940312,0.573156417,0.082241037,0.067331671,0.567768738,0.025802752,-0.048387097,inf,0.092368624
9/30/2021,AMD,0.121354167,0.043213918,0.107832322,-0.000824402,0.021846116,-3.817313812,-0.023703672,0.056897957,-0.126168224,-0.124654963,0.007609465,-0.13559322,0.105263158,0.001502477
12/31/2021,AMD,0.125174176,0.11351206,0.225292507,-0.004125413,0.033914512,-1.81668933,0.334000373,0.040808111,-0.065508021,-0.119828456,-0.038007781,-0.176470588,-0.571428571,-0.007293597
3/31/2022,AMD,0.209287926,4.388114985,1.353108492,0.342170671,0.016072818,2.225308436,0.320530482,-0.030040568,-0.097281831,-0.419891086,-0.016508083,-0.095238095,0,0.043170155
6/30/2022,AMD,0.113671275,0.008772323,0.064841996,-0.004938272,0.020532989,1.868123875,0.177029959,-0.080242212,-0.082408875,-0.689970356,-0.220466654,-0.052631579,2,0.058072562
9/30/2022,AMD,-0.151877395,0.004577642,0.075893943,0,0.018831434,-0.017726778,0.190360867,-0.030523642,-0.031088083,1.084462151,-0.041520201,0,-0.592592593,-0.049390295
12/31/2022,AMD,0.035778822,-0.003406527,-0.033084633,0,0.01609594,0.698938861,0.08014407,-0.032253445,0.048128342,-0.406345566,,0,9,-0.048450002
6/30/2018,INTC,0.002098573,-0.020404989,-0.042888193,-0.010515021,0.015614161,0.161903286,0.138620043,-0.011103063,-0.006066734,-0.446735395,-0.125672619,-0.025,-0.222222222,0.025792936
9/30/2018,INTC,0.12660803,0.018019877,0.01491283,-0.010193017,0.010604734,0.019115256,-0.023339906,0.054185333,-0.002034588,2.483342744,-0.016460424,-0.025641026,0.142857143,0.007098353
12/31/2018,INTC,-0.017738595,-0.002175574,-0.059180042,-0.01051709,0.006380298,0.090647421,-0.007862085,-0.052874088,0,-0.7646296,0.036295806,0,2.25,0.008926232
3/31/2019,INTC,-0.149337659,0.011683065,0.04488764,-0.008635961,0.009309453,-0.320395051,-0.026411499,0.008177315,-0.036697248,1.466942149,-0.114288788,0.026315789,1.884615385,-0.017532876
6/30/2019,INTC,0.038390644,0.010049591,0.000268832,-0.010498101,0.012342928,-0.473676175,0.009081852,0.059290702,0.042328042,0.425181463,0.028232989,-0.076923077,-0.493333333,0.024997195
9/30/2019,INTC,0.164779335,0.0230118,0.066544829,-0.018058691,0.012193754,-0.207234375,0.065028225,0.026201025,-0.047715736,-0.558080313,-0.053293437,0,0.210526316,-0.01826894
12/31/2019,INTC,0.050922277,0.020602835,-0.008500487,-0.013793103,0.008113241,0.201320047,0.071595161,0.042229998,0.036247335,-0.29787234,0.294675905,0,0.956521739,0.050617102
3/31/2020,INTC,-0.01560156,0.081934312,0.209013894,-0.013053613,-0.00776264,-0.473298921,0.00114732,-0.008722703,-0.00617284,-6.964646465,0.093161158,0.055555556,36.16666667,-0.076039177
6/30/2020,INTC,-0.010108707,0.032692438,-0.011589775,0.004487482,-0.08827645,-1.422867035,-0.228725763,-0.040636545,-0.232919255,0.116215072,0.408043207,2.421052632,-0.002092676,-0.056562143
9/30/2020,INTC,-0.068045364,-0.047712388,0.002523785,-0.036444862,0.087881073,2.738066762,0.054409797,0.132394626,0.021592443,-1.080504457,-0.077241253,-0.323076923,-0.999400839,0.300589008
12/31/2020,INTC,0.082704697,0.053902975,0.018541304,-0.008784773,0.01602243,-0.32651474,-0.202209278,0.070687354,0.054161162,1.191990577,0.10929026,-0.227272727,6,-0.032118814
3/31/2021,INTC,-0.013477089,-0.016127663,-0.016704157,-0.005908419,0.028065066,-0.385739032,-0.113179196,0.087553805,0.005012531,2.10424503,0.066697113,-0.088235294,-1,0.123124408
6/30/2021,INTC,0.004021033,0.026390567,-0.020122855,0.0047053,0.032853318,-1.32940312,0.573156417,0.082241037,0.067331671,0.567768738,0.025802752,-0.048387097,inf,0.092368624
9/30/2021,INTC,-0.024337646,0.086450578,0.122279867,0.002464876,0.021846116,-3.817313812,-0.023703672,0.056897957,-0.126168224,-0.124654963,0.007609465,-0.13559322,0.105263158,0.001502477
12/31/2021,INTC,0.069571624,0.002643455,-0.062407705,0.000737644,0.033914512,-1.81668933,0.334000373,0.040808111,-0.065508021,-0.119828456,-0.038007781,-0.176470588,-0.571428571,-0.007293597
3/31/2022,INTC,-0.096978941,0.047207344,0.002807642,0.004668305,0.016072818,2.225308436,0.320530482,-0.030040568,-0.097281831,-0.419891086,-0.016508083,-0.095238095,0,0.043170155
6/30/2022,INTC,-0.165204599,-0.03367053,-0.054903032,0.004157496,0.020532989,1.868123875,0.177029959,-0.080242212,-0.082408875,-0.689970356,-0.220466654,-0.052631579,2,0.058072562
9/30/2022,INTC,0.001109588,0.025953831,0.083179191,0.005114467,0.018831434,-0.017726778,0.190360867,-0.030523642,-0.031088083,1.084462151,-0.041520201,0,-0.592592593,-0.049390295
12/31/2022,INTC,-0.084496023,0.04153488,0.076364801,0.002423068,0.01609594,0.698938861,0.08014407,-0.032253445,0.048128342,-0.406345566,,0,9,-0.048450002
6/30/2018,PYPL,-0.477016949,-0.015240301,-0.036956757,0.000845309,0.015614161,0.161903286,0.138620043,-0.011103063,-0.006066734,-0.446735395,-0.125672619,-0.025,-0.222222222,0.025792936
9/30/2018,PYPL,-0.050816697,0.049115819,0.073186286,-0.005067568,0.010604734,0.019115256,-0.023339906,0.054185333,-0.002034588,2.483342744,-0.016460424,-0.025641026,0.142857143,0.007098353
12/31/2018,PYPL,0.169898935,-0.008965328,-0.023174525,-0.003395586,0.006380298,0.090647421,-0.007862085,-0.052874088,0,-0.7646296,0.036295806,0,2.25,0.008926232
3/31/2019,PYPL,-0.036189587,0.068032863,0.113683533,-0.001703578,0.009309453,-0.320395051,-0.026411499,0.008177315,-0.036697248,1.466942149,-0.114288788,0.026315789,1.884615385,-0.017532876
6/30/2019,PYPL,0.042877907,0.045613656,0.036275423,0.004266212,0.012342928,-0.473676175,0.009081852,0.059290702,0.042328042,0.425181463,0.028232989,-0.076923077,-0.493333333,0.024997195
9/30/2019,PYPL,0.016957027,0.037858279,0.046136674,-0.002548853,0.012193754,-0.207234375,0.065028225,0.026201025,-0.047715736,-0.558080313,-0.053293437,0,0.210526316,-0.01826894
12/31/2019,PYPL,0.133165829,0.022101428,0.019679905,-0.000851789,0.008113241,0.201320047,0.071595161,0.042229998,0.036247335,-0.29787234,0.294675905,0,0.956521739,0.050617102
3/31/2020,PYPL,-0.069139286,0.057136735,0.111934659,0,-0.00776264,-0.473298921,0.00114732,-0.008722703,-0.00617284,-6.964646465,0.093161158,0.055555556,36.16666667,-0.076039177
